"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009768","photosynthesis, light harvesting in photosystem I",20,-0.873746912934596,-1.7992207812031,0.000537536488470394,0.0136088506105432,0.0121169970956869,365,"tags=70%, list=7%, signal=65%","AT1G08380/AT2G05100/AT1G29910/AT2G05070/AT3G54890/AT3G08940/AT1G29920/AT1G15820/AT1G61520/AT3G27690/AT3G47470/AT5G54270/AT4G10340/AT3G61470"
"GO:0015995","chlorophyll biosynthetic process",24,-0.850099021869855,-1.82926233558867,0.000638007903822154,0.0157679096230332,0.014039371918693,653,"tags=71%, list=13%, signal=62%","AT1G44446/AT5G58250/AT5G47110/AT2G20570/AT2G35260/AT4G25080/AT4G27440/AT4G27430/AT5G45930/AT1G03630/AT3G59400/AT1G58290/AT4G17600/AT1G74470/AT3G56940/AT4G18480/AT5G18660"
"GO:0002831","regulation of response to biotic stimulus",75,0.744765738573174,1.71827455266855,0.000716595792190504,0.0169051461884942,0.0150519403240015,435,"tags=21%, list=8%, signal=20%","AT5G51450/AT4G39260/AT5G44585/AT2G21660/AT2G29460/AT3G52400/AT5G05190/AT5G13190/AT3G26830/AT5G20480/AT5G39670/AT4G31800/AT2G39660/AT3G22231/AT5G35620/AT5G05300"
"GO:0032101","regulation of response to external stimulus",75,0.744765738573174,1.71827455266855,0.000716595792190504,0.0169051461884942,0.0150519403240015,435,"tags=21%, list=8%, signal=20%","AT5G51450/AT4G39260/AT5G44585/AT2G21660/AT2G29460/AT3G52400/AT5G05190/AT5G13190/AT3G26830/AT5G20480/AT5G39670/AT4G31800/AT2G39660/AT3G22231/AT5G35620/AT5G05300"
"GO:0009644","response to high light intensity",36,-0.756493386846441,-1.73891911214571,0.00082506195710546,0.0190314291438993,0.0169451321248794,638,"tags=47%, list=12%, signal=42%","AT5G02120/AT2G39460/AT3G50820/AT1G67740/AT2G05620/AT2G47450/AT2G05100/AT2G05070/AT3G54890/AT3G15850/AT1G61520/AT3G27690/AT1G55480/AT3G47470/AT5G54270/AT3G61470/AT5G66570"
"GO:0009152","purine ribonucleotide biosynthetic process",22,-0.822243449507525,-1.74179964102376,0.00113347237625046,0.02557705057713,0.0227731978569315,471,"tags=27%, list=9%, signal=25%","AT4G00895/AT4G04640/AT4G32260/AT5G63310/AT3G52300/AT4G09650"
"GO:0006955","immune response",85,0.70033268465545,1.66252335828504,0.00150508543715964,0.0330500634742332,0.0294269909039416,769,"tags=32%, list=15%, signal=27%","AT5G51450/AT4G31500/AT4G39260/AT1G18570/AT2G21660/AT3G52400/AT5G13190/AT3G55830/AT4G12480/AT3G54420/AT5G57220/AT5G20480/AT2G14610/AT2G39660/AT5G05300/AT4G37990/AT4G39950/AT3G21220/AT3G20600/AT4G33430/AT4G03550/AT3G29400/AT5G61010/AT3G15210/AT2G26560/AT4G21390/AT2G33580"
"GO:0070887","cellular response to chemical stimulus",414,0.534645091772007,1.45273664988351,0.00152832663464662,0.0330500634742332,0.0294269909039416,662,"tags=24%, list=13%, signal=23%","AT5G64120/AT5G20230/AT3G49780/AT5G35735/AT5G22270/AT2G15890/AT3G45060/AT4G02380/AT5G63790/AT1G76600/AT1G30720/AT3G52400/AT4G26080/AT2G40750/AT2G32210/AT2G01540/AT5G05190/AT3G22160/AT5G13190/AT5G54940/AT2G22500/AT5G59820/AT1G78380/AT1G22810/AT5G27420/AT3G56880/AT5G06320/AT1G14540/AT1G26380/AT2G44080/AT4G21850/AT3G52800/AT5G12030/AT5G47010/AT5G57220/AT2G26150/AT2G13810/AT1G50740/AT5G64260/AT5G25350/AT3G46080/AT1G13260/AT1G69890/AT1G23710/AT2G23810/AT1G34370/AT5G42380/AT2G36460/AT5G21010/AT3G63010/AT1G76680/AT5G25250/AT5G20480/AT1G15670/AT4G30280/AT5G19230/AT5G19240/AT2G41430/AT5G64810/AT1G09070/AT1G08830/AT4G37790/AT5G64750/AT1G35160/AT3G49580/AT1G28480/AT4G23810/AT4G04800/AT1G34190/AT3G22231/AT4G32040/AT1G66090/AT2G36580/AT5G40370/AT2G28400/AT2G46400/AT4G29130/AT3G46090/AT1G75270/AT1G66340/AT5G22570/AT1G10140/AT1G02360/AT1G18720/AT1G08110/AT1G70810/AT3G04640/AT3G21220/AT4G21840/AT4G01250/AT2G20760/AT2G03440/AT1G14000/AT2G36220/AT5G10450/AT4G33430/AT2G32200/AT1G50640/AT4G03550/AT3G46290/AT5G05600"
"GO:0018193","peptidyl-amino acid modification",30,-0.790760044394732,-1.76758723650705,0.00157015779801234,0.0332617100885062,0.0296154360183637,393,"tags=40%, list=8%, signal=37%","AT1G53240/AT3G52960/AT1G72030/AT4G20260/AT3G26650/AT3G12780/AT4G20360/AT3G62030/AT1G32060/AT4G05180/AT4G21280/AT1G09340"
"GO:0016072","rRNA metabolic process",86,-0.621629014215199,-1.64524834782403,0.0018415583172845,0.0382307506668263,0.0340397516331746,1051,"tags=36%, list=21%, signal=29%","AT3G13580/AT3G46210/AT5G20290/AT1G55140/AT1G49970/AT2G17240/AT2G47990/AT5G62440/AT1G06190/AT2G20490/AT5G02610/AT5G27700/AT3G09500/AT3G62870/AT1G60000/AT5G50250/AT1G25260/AT2G47610/AT2G33800/AT2G37990/AT1G01080/AT5G16130/AT4G12600/AT4G25630/AT5G46580/AT2G01250/AT3G52380/AT3G63140/AT4G24770/AT3G52150/AT1G09340"
"GO:0080135","regulation of cellular response to stress",30,0.842230866846126,1.74128122639641,0.00196616340768563,0.0392476464841863,0.0349451714969228,346,"tags=27%, list=7%, signal=25%","AT5G51450/AT4G36990/AT3G52400/AT5G13190/AT2G20880/AT1G34370/AT1G56300/AT2G14610"
"GO:0002376","immune system process",86,0.701243483898817,1.66123267801985,0.00195221237410855,0.0392476464841863,0.0349451714969228,769,"tags=33%, list=15%, signal=28%","AT5G51450/AT4G31500/AT4G39260/AT1G18570/AT2G21660/AT3G52400/AT5G13190/AT3G55830/AT4G12480/AT3G54420/AT5G57220/AT5G20480/AT2G14610/AT2G39660/AT5G05300/AT4G37990/AT4G39950/AT3G21220/AT3G20600/AT4G33430/AT4G03550/AT3G29400/AT5G61010/AT3G15210/AT2G26560/AT4G21390/AT3G11840/AT2G33580"
"GO:0006364","rRNA processing",80,-0.628227124688968,-1.64730490494739,0.00225463370092589,0.044156788331341,0.0393161547053214,1016,"tags=36%, list=20%, signal=30%","AT5G20290/AT1G55140/AT1G49970/AT2G17240/AT2G47990/AT5G62440/AT1G06190/AT2G20490/AT5G02610/AT5G27700/AT3G09500/AT3G62870/AT1G60000/AT5G50250/AT1G25260/AT2G47610/AT2G33800/AT2G37990/AT1G01080/AT5G16130/AT4G12600/AT4G25630/AT5G46580/AT2G01250/AT3G52380/AT3G63140/AT4G24770/AT3G52150/AT1G09340"
"GO:0017014","protein nitrosylation",15,-0.870477985402208,-1.67472144186489,0.00263520941845666,0.0476684746574308,0.0424428767358526,266,"tags=47%, list=5%, signal=44%","AT3G26650/AT3G12780/AT4G20360/AT1G32060/AT4G05180/AT4G21280/AT1G09340"
"GO:0018119","peptidyl-cysteine S-nitrosylation",15,-0.870477985402208,-1.67472144186489,0.00263520941845666,0.0476684746574308,0.0424428767358526,266,"tags=47%, list=5%, signal=44%","AT3G26650/AT3G12780/AT4G20360/AT1G32060/AT4G05180/AT4G21280/AT1G09340"
"GO:0018198","peptidyl-cysteine modification",15,-0.870477985402208,-1.67472144186489,0.00263520941845666,0.0476684746574308,0.0424428767358526,266,"tags=47%, list=5%, signal=44%","AT3G26650/AT3G12780/AT4G20360/AT1G32060/AT4G05180/AT4G21280/AT1G09340"
"GO:0045087","innate immune response",76,0.716559405995316,1.65974103714755,0.00266355638740943,0.0476684746574308,0.0424428767358526,577,"tags=24%, list=11%, signal=21%","AT5G51450/AT4G31500/AT4G39260/AT1G18570/AT2G21660/AT3G52400/AT5G13190/AT3G55830/AT4G12480/AT3G54420/AT5G57220/AT5G20480/AT2G39660/AT5G05300/AT4G37990/AT4G39950/AT3G21220/AT3G20600"
"GO:0080134","regulation of response to stress",130,0.656274744152389,1.62738012669605,0.00253097436484281,0.0476684746574308,0.0424428767358526,435,"tags=19%, list=8%, signal=18%","AT5G51450/AT4G39260/AT1G56060/AT4G36990/AT5G44585/AT2G21660/AT2G29460/AT3G52400/AT2G40750/AT5G05190/AT5G13190/AT3G26830/AT2G20880/AT1G34370/AT3G05500/AT5G20480/AT5G39670/AT4G31800/AT1G56300/AT2G14610/AT2G39660/AT4G23810/AT3G22231/AT5G35620/AT5G05300"
